# template	structure	item-style(s)
# generated by scripts/sync-engine-indexes.mjs from @antv/infographic 0.2.20 (esm/templates/*.js)
# 113 templates
chart-bar-plain-text	chart-bar	plain-text
chart-column-simple	chart-column	simple
chart-line-plain-text	chart-line	plain-text
chart-pie-compact-card	chart-pie	compact-card
chart-pie-donut-compact-card	chart-pie	compact-card
chart-pie-donut-pill-badge	chart-pie	pill-badge
chart-pie-donut-plain-text	chart-pie	plain-text
chart-pie-pill-badge	chart-pie	pill-badge
chart-pie-plain-text	chart-pie	plain-text
chart-wordcloud	chart-wordcloud	
chart-wordcloud-rotate	chart-wordcloud	
compare-binary-horizontal-badge-card-arrow	compare-binary-horizontal	badge-card
compare-binary-horizontal-badge-card-fold	compare-binary-horizontal	badge-card
compare-binary-horizontal-badge-card-vs	compare-binary-horizontal	badge-card
compare-binary-horizontal-compact-card-arrow	compare-binary-horizontal	compact-card
compare-binary-horizontal-compact-card-fold	compare-binary-horizontal	compact-card
compare-binary-horizontal-compact-card-vs	compare-binary-horizontal	compact-card
compare-binary-horizontal-simple-arrow	compare-binary-horizontal	simple
compare-binary-horizontal-simple-fold	compare-binary-horizontal	simple
compare-binary-horizontal-simple-vs	compare-binary-horizontal	simple
compare-binary-horizontal-underline-text-arrow	compare-binary-horizontal	underline-text
compare-binary-horizontal-underline-text-fold	compare-binary-horizontal	underline-text
compare-binary-horizontal-underline-text-vs	compare-binary-horizontal	underline-text
compare-hierarchy-left-right-circle-node-pill-badge	compare-hierarchy-left-right	circle-node
compare-hierarchy-left-right-circle-node-plain-text	compare-hierarchy-left-right	circle-node,plain-text
compare-hierarchy-row-letter-card-compact-card	compare-hierarchy-row	letter-card,compact-card
compare-hierarchy-row-letter-card-rounded-rect-node	compare-hierarchy-row	letter-card,rounded-rect-node
compare-quadrant-quarter-circular	quadrant	quarter-circular
compare-quadrant-quarter-simple-card	quadrant	quarter-simple-card
compare-quadrant-simple-illus	quadrant	simple-illus
compare-swot	compare-hierarchy-row	letter-card,plain-text
hierarchy-structure	hierarchy-structure	
hierarchy-structure-mirror	hierarchy-structure	
list-column-done-list	list-column	done-list
list-column-simple-vertical-arrow	list-column	simple-vertical-arrow
list-column-vertical-icon-arrow	list-column	vertical-icon-arrow
list-grid-badge-card	list-grid	badge-card
list-grid-candy-card-lite	list-grid	candy-card-lite
list-grid-circular-progress	list-grid	circular-progress
list-grid-compact-card	list-grid	compact-card
list-grid-done-list	list-grid	done-list
list-grid-horizontal-icon-arrow	list-grid	horizontal-icon-arrow
list-grid-progress-card	list-grid	progress-card
list-grid-ribbon-card	list-grid	ribbon-card
list-grid-simple	list-grid	simple
list-pyramid-badge-card	list-pyramid	badge-card
list-pyramid-compact-card	list-pyramid	compact-card
list-pyramid-rounded-rect-node	list-pyramid	rounded-rect-node
list-row-circular-progress	list-row	circular-progress
list-row-horizontal-icon-arrow	list-row	horizontal-icon-arrow
list-row-horizontal-icon-line	list-row	horizontal-icon-line
list-row-simple-horizontal-arrow	list-row	simple-horizontal-arrow
list-row-simple-illus	list-row	simple-illus
list-sector-half-plain-text	list-sector	plain-text
list-sector-plain-text	list-sector	plain-text
list-sector-simple	list-sector	simple
list-waterfall-badge-card	list-waterfall	badge-card
list-waterfall-compact-card	list-waterfall	compact-card
list-zigzag-down-compact-card	list-zigzag-down	compact-card
list-zigzag-down-simple	list-zigzag-down	simple
list-zigzag-up-compact-card	list-zigzag-up	compact-card
list-zigzag-up-simple	list-zigzag-up	simple
relation-circle-circular-progress	relation-circle	circular-progress
relation-circle-icon-badge	relation-circle	icon-badge
relation-network-icon-badge	relation-network	icon-badge
relation-network-simple-circle-node	relation-network	simple-circle-node
sequence-ascending-stairs-3d-simple	sequence-ascending-stairs-3d	simple
sequence-ascending-stairs-3d-underline-text	sequence-ascending-stairs-3d	underline-text
sequence-ascending-steps	sequence-ascending-steps	l-corner-card
sequence-circle-arrows-indexed-card	sequence-circle-arrows	indexed-card
sequence-circular-simple	sequence-circular	simple
sequence-circular-underline-text	sequence-circular	underline-text
sequence-color-snake-steps-horizontal-icon-line	sequence-color-snake-steps	horizontal-icon-line
sequence-color-snake-steps-simple-illus	sequence-color-snake-steps	simple-illus
sequence-cylinders-3d-simple	sequence-cylinders-3d	simple
sequence-filter-mesh-simple	sequence-filter-mesh	simple
sequence-filter-mesh-underline-text	sequence-filter-mesh	underline-text
sequence-funnel-simple	sequence-funnel	simple
sequence-horizontal-zigzag-horizontal-icon-line	sequence-horizontal-zigzag	horizontal-icon-line
sequence-horizontal-zigzag-plain-text	sequence-horizontal-zigzag	plain-text
sequence-horizontal-zigzag-simple	sequence-horizontal-zigzag	simple
sequence-horizontal-zigzag-simple-horizontal-arrow	sequence-horizontal-zigzag	simple-horizontal-arrow
sequence-horizontal-zigzag-simple-illus	sequence-horizontal-zigzag	simple-illus
sequence-horizontal-zigzag-underline-text	sequence-horizontal-zigzag	underline-text
sequence-mountain-underline-text	sequence-mountain	underline-text
sequence-pyramid-simple	sequence-pyramid	simple
sequence-roadmap-vertical-badge-card	sequence-roadmap-vertical	badge-card
sequence-roadmap-vertical-pill-badge	sequence-roadmap-vertical	pill-badge
sequence-roadmap-vertical-plain-text	sequence-roadmap-vertical	plain-text
sequence-roadmap-vertical-quarter-circular	sequence-roadmap-vertical	quarter-circular
sequence-roadmap-vertical-quarter-simple-card	sequence-roadmap-vertical	quarter-simple-card
sequence-roadmap-vertical-simple	sequence-roadmap-vertical	simple
sequence-roadmap-vertical-underline-text	sequence-roadmap-vertical	underline-text
sequence-snake-steps-compact-card	sequence-snake-steps	compact-card
sequence-snake-steps-pill-badge	sequence-snake-steps	pill-badge
sequence-snake-steps-simple	sequence-snake-steps	simple
sequence-snake-steps-simple-illus	sequence-snake-steps	simple-illus
sequence-snake-steps-underline-text	sequence-snake-steps	underline-text
sequence-stairs-front-compact-card	sequence-stairs-front	compact-card
sequence-stairs-front-pill-badge	sequence-stairs-front	pill-badge
sequence-stairs-front-simple	sequence-stairs-front	simple
sequence-steps-badge-card	sequence-steps	badge-card
sequence-steps-simple	sequence-steps	simple
sequence-steps-simple-illus	sequence-steps	simple-illus
sequence-timeline-done-list	sequence-timeline	done-list
sequence-timeline-plain-text	sequence-timeline	plain-text
sequence-timeline-rounded-rect-node	sequence-timeline	rounded-rect-node
sequence-timeline-simple	sequence-timeline	simple
sequence-timeline-simple-illus	sequence-timeline	simple-illus
sequence-zigzag-pucks-3d-indexed-card	sequence-zigzag-pucks-3d	indexed-card
sequence-zigzag-pucks-3d-simple	sequence-zigzag-pucks-3d	simple
sequence-zigzag-pucks-3d-underline-text	sequence-zigzag-pucks-3d	underline-text
sequence-zigzag-steps-underline-text	sequence-zigzag-steps	underline-text
