# domain	scenario	engine	file
# L0 meta-clusters: A=data-metrics · B=process-systems · C=infra-governance · D=knowledge-expression
# Columns: domain <TAB> scenario <TAB> engine <TAB> example file (no extension)
service-reliability	latency-profile	echarts	boxplot-latency-distribution
service-reliability	latency-profile	vega	latency-beeswarm-regions
service-reliability	latency-profile	vega	service-latency-density
service-reliability	latency-profile	vega	before-after-latency-gap
service-reliability	latency-profile	vega	service-drift-lasagna
service-reliability	forecast-band	vega	forecast-range-band
service-reliability	forecast-band	vega	team-variance-interval
ops-monitoring	incident-load	echarts	heatmap-incident-load
ops-monitoring	incident-load	vega	alert-density-contours
ops-monitoring	incident-load	vega	incident-rate-stripes
ops-monitoring	incident-trend	echarts	incident-trend-stacked-area
service-reliability	slo-attainment	echarts	gauge-sla-attainment
service-reliability	error-budget	vega	error-budget-burn-trail
service-reliability	threshold-monitoring	vega	threshold-breach-annotation
ops-monitoring	anomaly-scan	echarts	effectscatter-outlier-alerts
ops-monitoring	service-profile	echarts	radar-capability-profile
ops-monitoring	service-profile	vega	capability-comparison-radar
ops-monitoring	service-scorecard	echarts	matrix-service-scorecards
ops-monitoring	support-load	echarts	support-volume-radial-bars
ops-monitoring	support-load	infographic	support-ticket-mix-pie
ops-monitoring	metric-trend	echarts	trend-line-multi-series
ops-monitoring	service-profile	vega	risk-profile-parallel
service-reliability	reliability-maturity	infographic	reliability-maturity-ladder
delivery-throughput	throughput-vs-cycle	vega	growth-vs-efficiency-path
delivery-throughput	throughput-vs-cycle	echarts	throughput-band-range-area
delivery-throughput	rank-movement	echarts	team-rank-bump-chart
delivery-throughput	rank-movement	vega	rank-movement-over-time
delivery-throughput	rank-movement	vega	adoption-shift-slope
delivery-throughput	team-capacity	echarts	pictorialbar-capacity-symbols
delivery-throughput	team-capacity	vega	support-capacity-units
delivery-throughput	team-capacity	infographic	team-capacity-ramp
delivery-throughput	team-capacity	infographic	team-throughput-bars
goal-and-status-reporting	goal-attainment	echarts	goal-attainment-background-bars
goal-and-status-reporting	goal-attainment	vega	target-attainment-bullet
goal-and-status-reporting	goal-attainment	echarts	delivery-score-threshold-bands
delivery-throughput	backlog-flow	echarts	backlog-ranking-dataset
delivery-throughput	backlog-flow	vega	demand-overview-detail
delivery-throughput	release-packet-profile	vega	release-duration-distribution
delivery-throughput	release-packet-profile	vega	release-size-violin
